,idx,first_pass,solution_words,solution
746,746,SC assi N arse R Ra TU re,Scassinar;serrature,Scassinar serrature
747,747,G rande MO N aste Rodi S U ore,Grande;monastero;di;suore,Grande monastero di suore
748,748,GR anca V ali erede C ora TO,Gran;cavaliere;decorato,Gran cavaliere decorato
749,749,sacco L G ala mi C O conca L ore,S;accolga;l;amico;con;calore,S'accolga l'amico con calore
750,750,AF Fermat est AR,Affermate;star,Affermate star
751,751,con topo C OS alato,Conto;poco;salato,Conto poco salato
752,752,ST Ande NOG astro nomi CO,Stand;enogastronomico,Stand enogastronomico
753,753,Eva S ore F I scale,Evasore;fiscale,Evasore fiscale
754,754,ST arco nani M otre P I Dante,Star;con;animo;trepidante,Star con animo trepidante
755,755,conci S toro S E greto,Concistoro;segreto,Concistoro segreto
756,756,M ali N coni cove R SO,Malinconico;verso,Malinconico verso
757,757,I denti kitsch IZZ Ati Amati TA,Identikit;schizzati;a;matita,Identikit schizzati a matita
758,758,capi E N titani C H E,Capienti;taniche,Capienti taniche
759,759,SP asso sifone MI,Spassosi;fonemi,Spassosi fonemi
760,760,viole NTI U mani,Violenti;umani,Violenti umani
761,761,U nostrano esteri L ed I S corso,Uno;strano;e;sterile;discorso,Uno strano e sterile discorso
762,762,mici Di A lime C cani S MI,Micidiali;meccanismi,Micidiali meccanismi
763,763,ES ala ZI O nidi G asino D oro,Esalazioni;di;gas;inodoro,Esalazioni di gas inodoro
764,764,Bambi note star do,Bambino;testardo,Bambino testardo
765,765,P esca remo R M ore,Pescare;moremoro,Pescare moremoro
766,766,mini S trono TO,Ministro;noto,Ministro noto
767,767,armadio RI ginestra NA,Arma;di;origine;strana,Arma di origine strana
768,768,dive R S A mani E radici B arsi,Diversa;maniera;di;cibarsi,Diversa maniera di cibarsi
769,769,MA cella reo V in I,Macellare;ovini,Macellare ovini
770,770,presepe R fette DI tacco NI,Prese;perfette;di;taconi,Prese perfette di taconi
771,771,ava N Z are are T E,Avanzare;a;rete,Avanzare a rete
772,772,asse G N otri ME strale,Assegno;trimestrale,Assegno trimestrale
773,773,P Alpi T arditi M ore,Palpitar;di;timore,Palpitar di timore
774,774,S bar C aratri est E,Sbarcar;a;Trieste,Sbarcar a Trieste
775,775,AR busto A Roma tic O,Arbusto;aromatico,Arbusto aromatico
776,776,mine S T Ron eco N F ave,Minestrone;con;fave,Minestrone con fave
777,777,Belgio C A torero mani STA,Bel;giocatore;romanista,Bel giocatore romanista
778,778,porta CHI avido RO,Portachia;v;idoro,Portachia v'idoro
779,779,EN orme ZOC colo,Enorme;zoccolo,Enorme zoccolo
780,780,M anitre manti D A M ore,Mani;tremanti;d;amore,Mani tremanti d'amore
781,781,F amo S ore ali T Y,Famoso;reality,Famoso reality
782,782,Edipo chiave re,È;di;pochi;avere,È di pochi avere
783,783,C odi Ce spider Ra TO,Codice;spie;derato,Codice spie derato
784,784,con tori N C ara T O,Conto;rincarato,Conto rincarato
785,785,PO stop erba L L are,Posto;per;ballare,Posto per ballare
786,786,L api spera BI lidi SE G nato RI,Lapis;per;abili;disegnatori,Lapis per abili disegnatori
787,787,TRA mari NG anni,Tramar;inganni,Tramar inganni
788,788,su Per bidoni,Superbi;doni,Superbi doni
789,789,RIF orma R enorme,Riformare;norme,Riformare norme
790,790,STI Parma S seri Z iene isola I,Stipar;masserizien;iso;laici,Stipar masserizien iso laici
791,791,U navi S tosa CR ava TT A R ossa,Una;vistosa;cravatta;rossa,Una vistosa cravatta rossa
792,792,UN Ate tra canti N A,Una;tetra;cantina,Una tetra cantina
793,793,F Ares cena TE,Fare;scenate,Fare scenate
794,794,T agli agli I NV est I menti,Tagli;agli;investimenti,Tagli agli investimenti
795,795,valle T tese X Y,Vallette;sexy,Vallette sexy
796,796,C anta UT O rei T ali A nome L odi cocomero N,Cantautore;italiano;melodico;come;Ron,Cantautore italiano melodico come Ron
797,797,U nano IO sa tele nove LA,Una;noiosa;telenovela,Una noiosa telenovela
798,798,T remi S seno vela D Y,Tre;miss;e;nove;lady,Tre miss e nove lady
799,799,M Ate RI alette R aria,Material;elettaria,Material elettaria
800,800,S erba RIM muta tasti M A,Serbar;imutata;stima,Serbar imutata stima
801,801,Poe SI Adidas C ali CA,Poesia;disadescali,Poesia disadescali
802,802,PRO teste di urne,Proteste;diurne,Proteste diurne
803,803,picco L Eva SCH Eros A,Piccole;vasche;rosa,Piccole vasche rosa
804,804,colli netta chef rana,Collinetta;che;frana,Collinetta che frana
805,805,sette RIR lande SE,Setter;irlandese,Setter irlandese
806,806,pie D Eva LGO,Piede;valgo,Piede valgo
807,807,bricco nero M antico,Briccone;romantico,Briccone romantico
808,808,di scodella C alla S,Disco;della;Callass,Disco della Callass
809,809,re C L amo in F onda TO,Reclamo;infondato,Reclamo infondato
810,810,tempio S C uri,Tempi;oscuri,Tempi oscuri
811,811,accetta R eco N si G liuti LI,Accettare;consigli;utili,Accettare consigli utili
812,812,L AL ante RN Adige NO va,La;Lanterna;di;Genova,La Lanterna di Genova
813,813,N O vetri E S tine,Nove;triestine,Nove triestine
814,814,P Alpi TAN tea T tesa,Palpitante;attesa,Palpitante attesa
815,815,GI romani C ape RF etto,Giromanica;perfetto,Giromanica perfetto
816,816,G radi nate G remi T E,Gradinate;gremite,Gradinate gremite
817,817,MOL tesa NZ Ionio N E rose,Molte;sanzioni;onerose,Molte sanzioni onerose
818,818,T OP oli noci N Q U antenne,Topolino;cinquantenne,Topolino cinquantenne
819,819,S tag E diva rime SI,Stage;di;vari;mesi,Stage di vari mesi
820,820,F radici aste R P agli A,Fradicia;sterpaglia,Fradicia sterpaglia
821,821,L avo R ora FFI nato,Lavoro;raffinato,Lavoro raffinato
822,822,L ali B erta,La;libertà,La libertà
823,823,Allen T are L eredi N I,Allentare;le;redini,Allentare le redini
824,824,F are FF etto,Far;effetto,Far effetto
825,825,COP pieno tede L lati VU,Coppie;note;della;tivù,Coppie note della tivù
826,826,est remo rigo re,Estremo;rigore,Estremo rigore
827,827,C ala M A I coni N chiostro,Calamai;con;inchiostro,Calamai con inchiostro
828,828,tra man uova,Trama;nuova,Trama nuova
829,829,PIN neve N TR ali,Pinne;ventrali,Pinne ventrali
830,830,MU si cachet O R menta,Musica;che;tormenta,Musica che tormenta
831,831,S oli TA mente F angoli GI oca tori D A T tacco,Solitamente;fan;gol;i;giocatori;d;attacco,Solitamente fan gol i giocatori d'attacco
832,832,M O menti pia CE V oli,Momenti;piacevoli,Momenti piacevoli
833,833,GR osso lana CO mici TA,Grossolana;comicità,Grossolana comicità
834,834,con COR danza D intere SSI,Concordanza;d;interessi,Concordanza d'interessi
835,835,ave R L avo cero CA,Aver;la;voce;roca,Aver la voce roca
836,836,CO raggio SAP oli tic A,Coraggiosa;politica,Coraggiosa politica
837,837,in U T ile SF orzo,Inutile;sforzo,Inutile sforzo
838,838,rivo L T epa U rose,Rivolte;paurose,Rivolte paurose
839,839,E sporta remo L tori S O,Esportare;motor;Iso,Esportare motor Iso
840,840,IS pira remo L tasti MA,Ispirare;molta;stima,Ispirare molta stima
841,841,ambi tee re dita,Ambite;eredità,Ambite eredità
842,842,setter I F lettori,Sette;rifilettori,Sette rifilettori
843,843,AL cunicolo S si,Alcuni;colossi,Alcuni colossi
844,844,E va SI va espressi ON E,Evasiva;espressione,Evasiva espressione
845,845,FAL semi seri E,False;miserie,False miserie
846,846,S ali nasi C I liana,Salina;siciliana,Salina siciliana
847,847,Po VE rete N D O poli,Povere;tendopoli,Povere tendopoli
848,848,SC ritto reni CH I lista,Scrittore;nichilista,Scrittore nichilista
849,849,S pia NA rete R reni,Spianare;terreni,Spianare terreni
850,850,lama T oca L CI oca RI oca,L;amato;calcio;carioca,L'amato calcio carioca
851,851,in U T I lire C L ami,Inutili;reclami,Inutili reclami
852,852,LA serra D I ante,Lasse;radiante,Lasse radiante
853,853,RA paperi NS alata,Rapa;per;insalata,Rapa per insalata
854,854,pia C E re con divi SO,Piacere;condiviso,Piacere condiviso
855,855,rive D E rive C chiavi,Riveder;i;vecchi;avi,Riveder i vecchi avi
856,856,MO menta NE ore CU pero,Momentaneo;recupero,Momentaneo recupero
857,857,con T ori F atto,Conto;rifatto,Conto rifatto
858,858,E S tre maghi otto neri A,Estrema;ghiottoneria,Estrema ghiottoneria
859,859,OS curie Sem PI,Oscuri;esempi,Oscuri esempi
860,860,cornac OL ossa L I,Corna;colossali,Corna colossali
861,861,TA rada S cala RE pera vere I L N etto,Tara;da;scalare;per;avere;il;netto,Tara da scalare per avere il netto
862,862,UN ara dio LI B Era,Una;radio;libera,Una radio libera
863,863,bacca L aranci D O,Baccalà;rancido,Baccalà rancido
864,864,A macaco N re T eco L orata,Amaca;con;rete;colorata,Amaca con rete colorata
865,865,melo Di EF amo sedile ha R,Melodie;famose;di;Lehar,Melodie famose di Lehar
866,866,T irato reo T timo,Tiratore;ottimo,Tiratore ottimo
867,867,M orata C cagna,Mora;taccagna,Mora taccagna
868,868,OPP rime rime N O F orti,Opprimer;i;meno;forti,Opprimer i meno forti
869,869,man che fa Cile,Manche;facile,Manche facile
870,870,CRI sante M irosa,Crisantemi;rosa,Crisantemi rosa
871,871,S Po N sorci NE si,Sponsor;cinesi,Sponsor cinesi
872,872,seme DIT isba G lime N O,Se;mediti;sbagli;meno,Se mediti sbagli meno
873,873,setter ISP oste V ali D E peri L CO NC orso A P remi,Sette;risposte;valide;per;il;concorso;a;premi,Sette risposte valide per il concorso a premi
874,874,IM porta N tiretti fiche AP porta TE,Importanti;rettifiche;apportate,Importanti rettifiche apportate
875,875,CUO catrame ST oliera MAI oli,Cuoca;tra;mestoli;e;ramaioli,Cuoca tra mestoli e ramaioli
876,876,regge palla di AN E,Regge;palladiane,Regge palladiane
877,877,PO pesco N volto,Pope;sconvolto,Pope sconvolto
878,878,AR teso FF erta,Arte;sofferta,Arte sofferta
879,879,P rovi N cielo N tane,Province;lontane,Province lontane
880,880,versi O nido P E rette,Versioni;d;operette,Versioni d'operette
881,881,E SA medi FFI Cile,Esame;difficile,Esame difficile
882,882,OSP Italia micio L Ande SI,ospitali;amici;olandesi,ospitali amici olandesi
883,883,SO listino R dame R I cani,Solisti;nordamericani,Solisti nordamericani
884,884,A C coppi A menti ori G I N ali,Accoppiamenti;originali,Accoppiamenti originali
885,885,lista NT epa S sale STO,L;istante;passa;lesto,L'istante passa lesto
886,886,Matera S saio O pero SO,Materassai;operoso,Materassai operoso
887,887,VI zia tir A M polli,Viziati;rampolli,Viziati rampolli
888,888,UN ape RSO nane RV osa,Una;persona;nervosa,Una persona nervosa
889,889,sta M per A recare,Stampé;rare;care,Stampé rare care
890,890,COM porta RS icone ST re maga L ante RIA,Comportarsi;con;estrema;galanteria,Comportarsi con estrema galanteria
891,891,OR melo N tane,Orme;lontane,Orme lontane
892,892,E SS eredi mani C ala RGA,Essere;di;manica;larga,Essere di manica larga
893,893,P re para R E dama N giare,Preparare;da;mangiare,Preparare da mangiare
894,894,la L UN nome nodi L I gente,L;alunno;meno;diligente,L'alunno meno diligente
895,895,S tra noci C A leccio,Strano;cicaleccio,Strano cicaleccio
896,896,S tanga T ape T R oli F Era,Stangata;petrolifera,Stangata petrolifera
897,897,ES serti pii ND O lenti,Esser;tippi;indolenti,Esser tippi indolenti
898,898,U N ari S posta auto RI T aria,Una;risposta;autoritaria,Una risposta autoritaria
899,899,ES serve re con DI,Esser;verecondi,Esser verecondi
900,900,rive LAR Siviglia C Chieti R Chio NI,Rivelarsi;vigliacchi;e;tirchioni,Rivelarsi vigliacchi e tirchioni
901,901,V I pari ST ocra tic O,Vip;aristocratico,Vip aristocratico
902,902,col fango Lana,Colf;Angolana,Colf Angolana
903,903,asse N soda T oca L oro S A mente,Assenso;dato;calorosamente,Assenso dato calorosamente
904,904,E Di P ore,Edipo;re,"""Edipo re"""
905,905,EN orme boa TO,Enorme;boato,Enorme boato
906,906,UN ala C UN ara RA,Una;lacuna;rara,Una lacuna rara
907,907,B ottico L orate,Botti;colorate,Botti colorate
908,908,lepri M E tappeto S cane,Le;prime;tappet;oscaane,Le prime tappet oscaane
909,909,Inter V I stadi F ferita,Intervista;differita,Intervista differita
910,910,DI M orari mine SE,Dimora;riminese,Dimora riminese
911,911,CO L orci C la mi NO,Color;ciclamino,Color ciclamino
912,912,U manesco N fitte,Umane;sconfitte,Umane sconfitte
913,913,RE dingo teli S A,Redingote;lisa,Redingote lisa
914,914,FR angelo G orate,Frange;logorate,Frange logorate
915,915,PU Bacco GLI ente,Pub;accogliente,Pub accogliente
916,916,TE dia latte SA,Tedia;l;attesa,Tedia l'attesa
917,917,LO rade I F anta SMI,L;ora;dei;fantasmi,L'ora dei fantasmi
918,918,C ambi A rei L cavolo gora TO,Cambiare;il;cavo;logorato,Cambiare il cavo logorato
919,919,F ara F fari,Far;affari,Far affari
920,920,DIS pera tori C U pero,Disperato;ricupero,Disperato ricupero
921,921,don N ape C camino SA,Donna;peccaminosa,Donna peccaminosa
922,922,D ara M piedi retti VE,Dar;ampie;direttive,Dar ampie direttive
923,923,di S trattore viso RE,Distratto;revisore,Distratto revisore
924,924,D eco rosone G O zio,Decoroso;negozio,Decoroso negozio
925,925,B ambi N oche O pera amo DO,Bambino;che;opera;a;modo,Bambino che opera a modo
926,926,FI Eros E nato redini ZZA,Fiero;senatore;di;Nizza,Fiero senatore di Nizza
927,927,P odi S tait ali ANO,Podista;italiano,Podista italiano
928,928,IN cubo assi L L ante,Incubo;assillante,Incubo assillante
929,929,P arti T adipe pero NI,Partita;di;peperoni,Partita di peperoni
930,930,AR ago STA collage lati N A,Aragosta;colla;gelatina,Aragosta colla gelatina
931,931,AC Costarica N ape,Accostar;i;canapé,Accostar i canapé
932,932,F Arc redi T O,Far;credito,Far credito
933,933,BRA Vasco LA retta,Brava;scolaretta,Brava scolaretta
934,934,conta DI nove R celle S E,Contadino;vercellese,Contadino vercellese
935,935,fra telai C O,Frate;laico,Frate laico
936,936,staffa M erica NO,Staff;americano,Staff americano
937,937,U nidi O T ari S posta,Un;idiota;risposta,Un'idiota risposta
938,938,S celle R atomo NEL laccio,Scellerato;monellaccio,Scellerato monellaccio
939,939,C avi tana T Ural I,Cavità;naturali,Cavità naturali
940,940,prete SAM ode STA,Pretesa;modesta,Pretesa modesta
941,941,musi capo polare,Musica;popolare,Musica popolare
942,942,B re vivi AG Giacomo,Brevi;viaggi;a;Como,Brevi viaggi a Como
943,943,unto U petti NT O,Un;toupet;tinto,Un toupet tinto
944,944,lama G liane R A,La;maglia;nera,La maglia nera
945,945,con gruista N Z I A menti,Congrui;stanzia menti,Congrui stanzia menti
946,946,uncini CO raggi RO,Un;cinico;raggiro,Un cinico raggiro
947,947,peri O do S T re SS ante,Periodo;stressante,Periodo stressante
948,948,T rea mi Cipro tetti V I,Tre;amici;protettivi,Tre amici protettivi
949,949,Cam P isola TII,Campi;solatii,Campi solatii
950,950,BA Dante M aro C china,Badante;marocchina,Badante marocchina
951,951,G Ra N deserto R E gale,Grande;serto;regale,Grande serto regale
952,952,R Aida E reo,Raid;aereo,Raid aereo
953,953,pere N tori E DI sposi ZI O NI Di legge,Perentorie;disposizioni;di;legge,Perentorie disposizioni di legge
954,954,fard E star S O S petti,Far;destar;sospetti,Far destar sospetti
955,955,pie TR Atene RA,Pietra;tenera,Pietra tenera
956,956,con su E toro T oca L coda TTU ali T A,Consumet;orotocal;c;odiattual,Consumet orotocal c'odiattual
957,957,MAR Carter RI tori,Marcar;territori,Marcar territori
958,958,ST rada SG ombra,Strada;sgombra,Strada sgombra
959,959,NO nave R asce N dente,Non;aver;ascendente,Non aver ascendente
960,960,T rea N zia nidi M E S si,Tre;anziani;dimessi,Tre anziani dimessi
961,961,C OL pediatri D iri V ali,Colpe;di;attridi;rivali,Colpe di attridi rivali
962,962,polla IO lori T ratto DI G nota,Pollaio;ritratto;d;ignota,"Pollaio: ""ritratto d'ignota"""
963,963,mais A ras E re N alani M are A,Mai;sarà;serena;l;anima;rea,Mai sarà serena l'anima rea
964,964,CA sedia S coli,Case;di;Ascoli,Case di Ascoli
965,965,Stan chef rasi diamanti,Stanche;frasi;di;amanti,Stanche frasi di amanti
966,966,L ascia T asola,Lasciata;sola,Lasciata sola
967,967,C rea TU rapa U rosa,Creatura;paurosa,Creatura paurosa
968,968,velino I Sette,Veli;noisette,Veli noisette
969,969,V olente rosa IM piegata,Volenterosa;impiegata,Volenterosa impiegata
970,970,P reo C CU pantere CL amo,Preoccupante;reclamo,Preoccupante reclamo
971,971,C Anna FU Maria,Cannà;Fumaria,Cannà Fumaria
972,972,A vocali forni A NO,Avo;californiano,Avo californiano
973,973,gru P piedi T O R I ali,Gruppi;editoriali,Gruppi editoriali
974,974,AR gin are LI M barba RI mento,Arginare;l;imbarbarimento,Arginare l'imbarbarimento
975,975,L avi T acido nata NT eco SE,La;vita;ci;dona;tante;cose,La vita ci dona tante cose
976,976,metro P oli T A N ami lane SE,Metropolitana;milanese,Metropolitana milanese
977,977,LU ceri posa NTE,Luce;riposante,Luce riposante
978,978,ora T O redi S involto,Oratore;disinvolto,Oratore disinvolto
979,979,fili B U stie rea L latta CCO,Filibustiere;all;attacco,Filibustiere all'attacco
980,980,Tell Y S ava la S,Telly;Savalas,Telly Savalas
981,981,IM Po RTA rema C china riva RI,Importare;macchinari;vari,Importare macchinari vari
982,982,perni E N Tevere C onde,Per;niente;vereconde,Per niente vereconde
983,983,ELI mina rema L W are,Eliminare;malware,Eliminare malware
984,984,R Ischia redi SO L arsi,Rischiare;d;isolarsi,Rischiare d'isolarsi
985,985,S C rive rete STI perla R A dio,Scrivere;testi;per;la;radio,Scrivere testi per la radio
986,986,peri O D otri BO lato,Periodo;tribolato,Periodo tribolato
987,987,asso R TI mento VA rio,Assortimento;vario,Assortimento vario
988,988,SC Atena T Era G azze,Scatenate;ragazze,Scatenate ragazze
989,989,IN viola BI lepri NCI pio,Inviolabile;principio,Inviolabile principio
990,990,VI N cola re U naso M mari L E V ante,Vincolare;una;somma;rilevante,Vincolare una somma rilevante
991,991,ambi G U ori T rovo,Ambiguo;ritrovo,Ambiguo ritrovo
992,992,A via N santi,Avi;ansanti,Avi ansanti
993,993,su O rema DR ile N E,Suore;madrilene,Suore madrilene
994,994,nei C U ori S I alte R nano I pia ceri E idolo RI,Nei;cuori;si;alterano;i;piacerie;i;d;olori,Nei cuori si alterano i piacerie i d'olori
995,995,F etti NA divi Tell O,Fettina;di;vitello,Fettina di vitello
996,996,rettili NE A menti,Retti;lineamenti,Retti lineamenti
997,997,T anta corte S I A fate merli N G anno,Tanta;cortesia;fa;temer;l;inganno,Tanta cortesia fa temer l'inganno
998,998,nona B bando NA rema ilare TT avi A,Non;abbandonare;mai;la;retta;via,Non abbandonare mai la retta via
999,999,F orma di S astro SA,Forma;disastrosa,Forma disastrosa
1000,1000,lago CC IA costa NT esca V AL api ET radura,La;goccia;costante;scava;la;pietra;dura,La goccia costante scava la pietra dura
1001,1001,DA tasto RI capre su NTA,Data;storica;presunta,Data storica presunta
1002,1002,C ari buche E M I grano,Caribù;che;emigrano,Caribù che emigrano
1003,1003,UN amo ST radi magri T TE,Una;mostra;di;Magritte,Una mostra di Magritte
1004,1004,ST rada face NDO,Strada;facendo,Strada facendo
1005,1005,tra T T Artemide L IC Ati,Trattar;temi;delicati,Trattar temi delicati
1006,1006,si S tema R I Dotto,Sistema;ridotto,Sistema ridotto
1007,1007,parti tea pinna colo,Partite;a;pinnacolo,Partite a pinnacolo
1008,1008,PI atto divi TE L loto N nato,Piatto;di;vitello;tonnato,Piatto di vitello tonnato
1009,1009,Bi stecca coni N S ala TA,Bistecca;con;insalata,Bistecca con insalata
1010,1010,su A dentice NNI,Suadenti;centi,Suadenti centi
1011,1011,C A satiri mine S I,Casati;riminesi,Casati riminesi
1012,1012,RI manovella,Rima;novella,Rima novella
1013,1013,DI vari ori DI colo,Divario;ridicolo,Divario ridicolo
1014,1014,armi G eroina RMI,Armigeri;on;armi,Armigeri on armi
1015,1015,I Lario castagne R,Ilario;Castagner,Ilario Castagner
1016,1016,S E cola re C A stagno,Secolare;castagno,Secolare castagno
1017,1017,legge R aperto SSE,Leggera;portosse,Leggera portosse
1018,1018,IM maniero S ioni,Immani;erosioni,Immani erosioni
1019,1019,U nasi ring A P riva del lago,Una;siringa;priva;dell;ago,Una siringa priva dell'ago
1020,1020,F re D dama N sarda,Fredda;mansarda,Fredda mansarda
1021,1021,mister I O somale,Misterioso;male,Misterioso male
1022,1022,D I ceri AF ondata,Diceria;fondata,Diceria fondata
1023,1023,MO tosta F fetta,Moto;staffetta,Moto staffetta
1024,1024,re P LI caschi ettari B A dita,Replica;schietta;ribadita,Replica schietta ribadita
1025,1025,O treno NC olmo,Otre;non;colmo,Otre non colmo
1026,1026,su A dentista N di STI,Suadenti;standisti,Suadenti standisti
1027,1027,U nata P papi rena ICA alto UR,Una;tappa;pirenaica;al;tour,Una tappa pirenaica al tour
1028,1028,CA S seri col medico serio R D I nate,Casse;ricolme;di;cose;riordinate,Casse ricolme di cose riordinate
1029,1029,uncino Fi L otre N tino,Un;cinofilo;trentino,Un cinofilo trentino
1030,1030,A vere P RE mura,Avere;premura,Avere premura
1031,1031,sudan esili B I cieco N gole SI,Sudanesi;libici;e;congolesi,Sudanesi libici e congolesi
1032,1032,A mici ZI ara FF orzata,Amicizia;rafforzata,Amicizia rafforzata
1033,1033,Pitt U rasi M B O lista,Pittura;simbolista,Pittura simbolista
1034,1034,S punti in NO: va T ivi,Spunti;innovativi,Spunti innovativi
1035,1035,con T attiva NI,Contatti;vani,Contatti vani
1036,1036,N avidi CL Ande S tini,Navi;di;clandestini,Navi di clandestini
1037,1037,STU dente S salice AL edile G nano,Studentessa;liceale;di;Legnano,Studentessa liceale di Legnano
1038,1038,F anta STI casa granata L I zia,Fantastica;sagra;natalizia,Fantastica sagra natalizia
1039,1039,I gallo nidi S E R gente,I;galloni;di;sergente,I galloni di sergente
1040,1040,SCE netta bocca C C esca,Scenetta;bocaccesca,Scenetta bocaccesca
1041,1041,FU rio Saba TT agli A,Furiosa;battaglia,Furiosa battaglia
1042,1042,C lima T Esopo IR asse Renato SI,Clima;teso;poi;rasserenatosi,Clima teso poi rasserenatosi
1043,1043,lacca DE Miami LI TA redi M ode NA,L;accademia;militare;di;Modena,L'accademia militare di Modena
1044,1044,P E santino R mele G ali,Pesanti;norme;legali,Pesanti norme legali
1045,1045,O RA tori bachi A NI,Oratori;bachiani,Oratori bachiani
1046,1046,I con S ultime dici,I;consulti;medici,I consulti medici
1047,1047,peri OD I come R catino,Periodico;mercatino,Periodico mercatino
1048,1048,AE reo CH est aperto C carte R RA,Aereo;che;sta;per;toccare;terra,Aereo che sta per toccare terra
1049,1049,P anta L O negri giochi A RO,Pantalone;grigio;chiario,Pantalone grigio chiario
1050,1050,O tris coppia Ti,Otri;scoppiati,Otri scoppiati
1051,1051,postino TI,Posti;noti,Posti noti
1052,1052,U nani malesi NGO lare,Un;animale;singolare,Un animale singolare
1053,1053,pali N sesto tra S C ritto,Palinsesto;trascritto,Palinsesto trascritto
1054,1054,P agave rame N temi S E Ra,Paga;veramente;misera,Paga veramente misera
1055,1055,CER caraffa bilico MP A G nidi SV ago,Cercar;affabili;compagni;di;svago,Cercar affabili compagni di svago
1056,1056,V ali divo L Ontario S pedali E RI,Validi;volonteri;ospedalieri,Validi volonteri ospedalieri
1057,1057,CO raggio S oca P otri buco M anche S,Coraggioso;capo;tribù;comanches,Coraggioso capo tribù comanches
1058,1058,T O maiali scia Di vite LLO,Tommai;Alscià;di;Vitello,Tommai Alscià di Vitello
1059,1059,conte nero A more S anno A M are I geni T ori,Con;tenero;amore;sanno;amare;i;genitori,Con tenero amore sanno amare i genitori
1060,1060,N Eracle SS idra,Nera;lessidra,Nera lessidra
1061,1061,AC corta non netta,Accorta;nonnetta,Accorta nonnetta
1062,1062,sos P etto F onda TO,Sospetto;fondato,Sospetto fondato
1063,1063,U sarde testa BI lima NI E re,Usar;detestabili;maniere,Usar detestabili maniere
1064,1064,PO Verona VI G ante,Povero;navigante,Povero navigante
1065,1065,CA pelli scuri C onde IR IF lessi R ossi,Capelli;scuri;con;dei;riflessi;rossi,Capelli scuri con dei riflessi rossi
1066,1066,al tiro S O lacci,Alti;rosolacci,Alti rosolacci
1067,1067,P A stelline R astri,Pastelli;nerastri,Pastelli nerastri
1068,1068,RO seno N ancora S boccia TE,Rose;non;ancora;sbocciate,Rose non ancora sbocciate
1069,1069,ratto P P arpa N T aloni,Rattoppar;pantaloni,Rattoppar pantaloni
1070,1070,collane R A,Colla;nera,Colla nera
1071,1071,S triglia T avi GO rosa,Strigliata;vigorosa,Strigliata vigorosa
1072,1072,in C auto blu FF,Incauto;bluff,Incauto bluff
1073,1073,M arca T odi V Ario,Marcato;divario,Marcato divario
1074,1074,B asta PO coperte DI are,Basta;poco;per;tediare,Basta poco per tediare
1075,1075,A zie N dei NC Risi,Aziende;in;crisi,Aziende in crisi
1076,1076,lame N tela S M orzata S ulna S cere,Lamentela;smorzata;sul;nascere,Lamentela smorzata sul nascere
1077,1077,ami C O soldi P aro LE Po C ovale,Amico;sol;di;parole;poco;vale,Amico sol di parole poco vale
1078,1078,PRI vile Giocasta LE,Privilegio;castale,Privilegio castale
1079,1079,T rovi amo L A mani E radi A marci,Troviamo;la;maniera;di;amarci,Troviamo la maniera di amarci
1080,1080,VE tris P orchi,Vetri;sporchi,Vetri sporchi
1081,1081,C ibis Enza P arti C OL ari SO stanze nutrie NTI,Cibi;senza;particolari;sostanze;nutrienti,Cibi senza particolari sostanze nutrienti
1082,1082,in dispensa BIL in ozio NI,Indispensabili;nozioni,Indispensabili nozioni
1083,1083,FRE giochi asso SO,Fregoi;chiassoso,Fregoi chiassoso
1084,1084,sci OP eroina TTO,Sciopero;in;atto,Sciopero in atto
1085,1085,P redi catino M IN ali,Predicati;nominali,Predicati nominali
1086,1086,O pera bocca C C esca,Opera;bocaccesca,Opera bocaccesca
1087,1087,di F fu sesto RIE,Diffuse;storie,Diffuse storie
1088,1088,Scola Risi Curie Gene Rosi,Scolari;sicuri;e;generosi,Scolari sicuri e generosi
1089,1089,granata serba,Granata;serba,Granata serba
1090,1090,buco L I Cip A E saggi,Bucolici;paesaggi,Bucolici paesaggi
1091,1091,LI sola mister I osa dive RNE,L;isola;misteriosa;di;Verne,L'isola misteriosa di Verne
1092,1092,QU indice SI manovella,Quindicesima;novella,Quindicesima novella
1093,1093,T avoli nidi C A stagno,Tavolini;di;castagno,Tavolini di castagno
1094,1094,L agave TT ami L IT are,La;gavetta;militare,La gavetta militare
1095,1095,con QU I starter rei N C ivi LI,Conquistar;terre;incivili,Conquistar terre incivili
1096,1096,bar bari caschi Era,Barbarica;schiera,Barbarica schiera
1097,1097,coni CA fon I US armo DI corte si P OC ovale,Con;i;cafoni;usar;modi;cortesi;poco;vale,Con i cafoni usar modi cortesi poco vale
1098,1098,orchi DE Eros SE,Orchidee;rosse,Orchidee rosse
1099,1099,picco loto Po,Piccolo;topo,Piccolo topo
1100,1100,M assi M ovale N tini,Massimo;Valentini,Massimo Valentini
1101,1101,A bilico N SU lenti,Abili;consulenti,Abili consulenti
1102,1102,attiva ND ali C I,Atti;vandalici,Atti vandalici
1103,1103,uncino filobus tese,Un;cinofilo;bustese,Un cinofilo bustese
1104,1104,D O mesti caschi V A,Domestica;schiva,Domestica schiva
1105,1105,BL usa granata,Blusa;granata,Blusa granata
1106,1106,FU R bachi R O mante,Furba;chiromante,Furba chiromante
1107,1107,TR ava sarde LV in O,Travasar;del;vino,Travasar del vino
1108,1108,D elica tasto F face L est E,Delicata;stoffa;celeste,Delicata stoffa celeste
1109,1109,blu F Ford in A Rio,Bluff;ordinario,Bluff ordinario
